roomIndex_1,roomIndex_2,coordiates_1,coordiates_2,recordPow,recordSnr,recordAoaAz,recordAzErr,recordBfGain
8,70,10.4,-1.15,-75.8508524658023,43.6138995017273,-105.8,5.02500000000001,13.9324774647084
8,71,10.55,-1.15,-74.8832365050726,42.4669831961549,-107.8,3.941,13.6727248597056
8,72,10.7,-1.15,-75.9084308102147,42.4940496424637,-112.6,0.0450000000000017,13.4057008895645
8,73,10.85,-1.15,-74.7142171634667,43.3878263184192,-117.4,3.863,13.1324507253785
8,74,11,-1.15,-76.0559566961808,45.4057828345312,-119.8,5.383,12.8539860002143
8,75,11.15,-1.15,-76.2578349071127,45.7803047363928,-112.8,2.486,12.5654910299663
8,76,11.3,-1.15,-76.8707257134978,44.7050125995548,-116.2,0.0579999999999927,12.262020873918
8,77,11.45,-1.15,-76.2877827824309,46.6946404135809,-112,4.985,11.9562600067937
8,78,11.6,-1.15,-76.79768120843,45.4207431049082,-128.4,10.584,11.6489390442274
8,79,11.75,-1.15,-76.9070365185097,44.9807169000598,-118.6,0.0350000000000108,11.3408145237575
8,80,11.9,-1.15,-76.8112375286598,46.5310223271829,-119.4,0.0409999999999968,11.0325237434454
8,81,12.05,-1.15,-76.460245517051,46.6172252996599,-123.4,3.16500000000001,10.7201748791647
8,82,12.2,-1.15,-77.4228331148952,43.8185300708933,-121,0.0150000000000006,10.9894031155911
8,83,12.35,-1.15,-76.6195927274024,43.6170835788463,-116.2,5.58399999999999,11.2810033122962
8,84,12.5,-1.15,-76.7167298588874,43.4081828034674,-122.6,0.0609999999999928,11.5633644540749
8,85,12.65,-1.15,-75.5898123611038,43.6057334034744,-123.2,0.0829999999999842,11.8364390137225
8,86,12.8,-1.15,-77.1521629496261,43.2061598212876,-133.6,9.587,12.1001637968234
8,87,12.95,-1.15,-75.7410922949974,43.4220628744986,-121.4,3.33200000000001,12.3545673156786
8,88,13.1,-1.15,-76.8550667474591,41.5360675773302,-123.4,2.03799999999998,12.5908721789939
9,64,9.5,-1.3,-77.1625196185772,38.5413050416543,-99.4,5.976,15.1153802472181
9,65,9.65,-1.3,-76.4299539302176,38.2873619224727,-106.4,0.0300000000000011,14.9401852876028
9,66,9.8,-1.3,-76.6955106931215,38.3565025806653,-107.4,0.0460000000000065,14.7492230517047
9,67,9.95,-1.3,-76.7142243948842,40.6698579002053,-113.6,5.27299999999998,14.5440878570355
9,68,10.1,-1.3,-76.7679282615694,42.9624469997196,-109.8,0.509999999999991,14.3263813481265
9,69,10.25,-1.3,-75.3439099782514,41.9178425817545,-100.6,9.64100000000001,14.0921476215239
9,70,10.4,-1.3,-76.1986882552413,44.4367351175926,-118.6,7.419,13.8327742240129
9,71,10.55,-1.3,-76.6937479795423,44.2691583479144,-108.8,3.309,13.5650788030221
9,72,10.7,-1.3,-76.2467919265014,43.3551071288969,-118.2,5.175,13.2902607068088
9,73,10.85,-1.3,-75.6461538940966,43.9006782369669,-119,5.071,13.0094543555035
9,74,11,-1.3,-76.712758818247,42.8605318809032,-114.8,0.0210000000000008,12.7237336282144
9,75,11.15,-1.3,-76.7710918085299,43.3989317928581,-115.6,0.0990000000000038,12.4197794365086
9,76,11.3,-1.3,-76.8340536127118,45.6203891590086,-116.6,0.0349999999999966,12.1093617801834
9,77,11.45,-1.3,-77.0109379276434,46.0753924798576,-113.4,4.01799999999999,11.7969999943376
9,78,11.6,-1.3,-76.81324297868,44.683922076569,-122,3.742,11.4834042977333
9,79,11.75,-1.3,-77.6416007968068,45.4133992289061,-113.2,5.88499999999999,11.1693065068444
9,80,11.9,-1.3,-76.7420539925905,45.809291185393,-119.8,0.0990000000000038,10.8553918394066
9,81,12.05,-1.3,-76.8552832236197,45.8761519244617,-125.4,4.7,10.8683333730554
9,82,12.2,-1.3,-77.3521076862655,44.4853600945087,-121.4,0.0870000000000033,11.1691072274951
9,83,12.35,-1.3,-77.5838797583235,44.9114165109577,-122.2,0.0619999999999976,11.4603241200275
9,84,12.5,-1.3,-76.248479974341,43.0432356979526,-123,0.0240000000000009,11.7419229984295
9,85,12.65,-1.3,-76.3432137590746,43.7746319933734,-129.6,5.827,12.0138291108699
9,86,12.8,-1.3,-76.3607349142521,43.3882125023199,-117,7.509,12.2760619346011
9,87,12.95,-1.3,-77.4634032949652,42.5069783825048,-121.2,4.03200000000001,12.5239586990398
9,88,13.1,-1.3,-76.2671497014739,41.7842674480026,-126,0.0579999999999927,12.752631614504
9,89,13.25,-1.3,-77.3960724083751,41.1211386850473,-126.6,0.0400000000000063,12.9719102424546
10,46,6.8,-1.45,-78.1976099565893,47.6736043900341,-86.4,0.0444999999999993,19.6512349322013
10,47,6.95,-1.45,-77.2423065742598,41.0494086712878,-87.4,0.0471000000000004,19.4703920376941
10,61,9.05,-1.45,-73.5372531598111,49.336859902777,-110.6,8.03299999999999,15.9418230594603
10,62,9.2,-1.45,-75.7613925740656,48.6973688994644,-103.6,0.00600000000001444,15.5499853196872
10,63,9.35,-1.45,-74.2937743751851,42.6535423375245,-89.8,14.836,15.2249960380372
10,64,9.5,-1.45,-76.2624109845925,39.4422804087579,-121,15.344,15.067977142924
